,,,Var,Standard,Standard,IT,IT,DE,DE,NL,NL,FR,FR,NO,NO,FI,FI,UK,UK,PL,PL,RO,RO,HU,HU,EL,EL,ES,ES,EE,EE,BE,BE,LU,LU,BG,BG,LV,LV,LT,LT,SI,SI,AT,AT,CH,CH,CZ,CZ,SK,SK,DK,DK,HR,HR,IE,IE,PT,PT,SE,SE
User,Activity type,Window number,h,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End
Working,Free time,1,0,0,4,0,4.5,0,4.5,0,5,0,4.5,0,4.5,0,4.5,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Working,Main,1,1,5,9,5.5,9.5,5.5,9.5,6,10,5.5,9.5,5.5,9.5,5.5,9.5,5.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Working,Free time,2,0,10,13.5,10.5,15.5,10.5,13.5,11,14.5,10.5,15,10.5,13,10.5,13,11,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Working,Main,2,1,14.5,18.5,16.5,20.5,14.5,18.5,15.5,19.5,16,20.5,14,18,14,18,15.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Working,Free time,3,0,19.5,24,21.5,24,19.5,24,20.5,24,21.5,24,19,24,19,24,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student,Free time,1,0,0,4,0,4.5,0,4,0,5,0,4.5,0,4.5,0,4.5,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student,Main,1,1,5,9,5.5,9.5,5,9,6,10,5.5,9.5,5.5,9.5,5.5,9.5,5.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student,Free time,2,1,10,13.5,10.5,15.5,10,13.5,11,14.5,10.5,15,10.5,13,10.5,13,11,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student,Main,2,1,14.5,18.5,16.5,20.5,14.5,18.5,15.5,19.5,16,20.5,14,18,14,18,15.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student,Free time,3,0,19.5,24,21.5,24,19.5,24,20.5,24,21.5,24,19,24,19,24,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inactive,Free time,1,0,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inactive,Main,1,1,8,20.5,8,20.5,8,20.5,8,20.5,8,20.5,8,20.5,8,20.5,8,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inactive,Free time,2,0,21.5,24,21.5,24,21.5,24,21.5,24,21.5,24,21.5,24,21.5,24,21.5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
